0002;CANDIDATURA 0002                                  ;CANDIDATURA 0002                                                                                    ;
0006;CANDIDATURA 0006                                  ;CANDIDATURA 0006                                                                                    ;
0008;CANDIDATURA 0008                                  ;CANDIDATURA 0008                                                                                    ;
0022;CANDIDATURA 0022                                  ;CANDIDATURA 0022                                                                                    ;
0023;CANDIDATURA 0023                                  ;CANDIDATURA 0023                                                                                    ;
0033;CANDIDATURA 0033                                  ;CANDIDATURA 0033                                                                                    ;
0038;CANDIDATURA 0038                                  ;CANDIDATURA 0038                                                                                    ;
0040;CANDIDATURA 0040                                  ;CANDIDATURA 0040                                                                                    ;
0047;CANDIDATURA 0047                                  ;CANDIDATURA 0047                                                                                    ;
0050;CANDIDATURA 0050                                  ;CANDIDATURA 0050                                                                                    ;
0061;CANDIDATURA 0061                                  ;CANDIDATURA 0061                                                                                    ;
0065;CANDIDATURA 0065                                  ;CANDIDATURA 0065                                                                                    ;
0069;CANDIDATURA 0069                                  ;CANDIDATURA 0069                                                                                    ;
0070;CANDIDATURA 0070                                  ;CANDIDATURA 0070                                                                                    ;
0071;CANDIDATURA 0071                                  ;CANDIDATURA 0071                                                                                    ;
0072;CANDIDATURA 0072                                  ;CANDIDATURA 0072                                                                                    ;
0074;CANDIDATURA 0074                                  ;CANDIDATURA 0074                                                                                    ;
0076;CANDIDATURA 0076                                  ;CANDIDATURA 0076                                                                                    ;
0079;CANDIDATURA 0079                                  ;CANDIDATURA 0079                                                                                    ;
0082;CANDIDATURA 0082                                  ;CANDIDATURA 0082                                                                                    ;
0083;CANDIDATURA 0083                                  ;CANDIDATURA 0083                                                                                    ;
0151;CANDIDATURA 0151                                  ;CANDIDATURA 0151                                                                                    ;
0153;CANDIDATURA 0153                                  ;CANDIDATURA 0153                                                                                    ;
0159;CANDIDATURA 0159                                  ;CANDIDATURA 0159                                                                                    ;
0165;CANDIDATURA 0165                                  ;CANDIDATURA 0165                                                                                    ;
0167;CANDIDATURA 0167                                  ;CANDIDATURA 0167                                                                                    ;
0168;CANDIDATURA 0168                                  ;CANDIDATURA 0168                                                                                    ;
0170;CANDIDATURA 0170                                  ;CANDIDATURA 0170                                                                                    ;
0171;CANDIDATURA 0171                                  ;CANDIDATURA 0171                                                                                    ;
0172;CANDIDATURA 0172                                  ;CANDIDATURA 0172                                                                                    ;
0174;CANDIDATURA 0174                                  ;CANDIDATURA 0174                                                                                    ;
0175;CANDIDATURA 0175                                  ;CANDIDATURA 0175                                                                                    ;
0176;CANDIDATURA 0176                                  ;CANDIDATURA 0176                                                                                    ;
0178;CANDIDATURA 0178                                  ;CANDIDATURA 0178                                                                                    ;
0179;CANDIDATURA 0179                                  ;CANDIDATURA 0179                                                                                    ;
0180;CANDIDATURA 0180                                  ;CANDIDATURA 0180                                                                                    ;
0181;CANDIDATURA 0181                                  ;CANDIDATURA 0181                                                                                    ;
0182;CANDIDATURA 0182                                  ;CANDIDATURA 0182                                                                                    ;
0184;CANDIDATURA 0184                                  ;CANDIDATURA 0184                                                                                    ;
0185;CANDIDATURA 0185                                  ;CANDIDATURA 0185                                                                                    ;
0186;CANDIDATURA 0186                                  ;CANDIDATURA 0186                                                                                    ;
0187;CANDIDATURA 0187                                  ;CANDIDATURA 0187                                                                                    ;
0188;CANDIDATURA 0188                                  ;CANDIDATURA 0188                                                                                    ;
0190;CANDIDATURA 0190                                  ;CANDIDATURA 0190                                                                                    ;
0194;CANDIDATURA 0194                                  ;CANDIDATURA 0194                                                                                    ;
0201;CANDIDATURA 0201                                  ;CANDIDATURA 0201                                                                                    ;
0202;CANDIDATURA 0202                                  ;CANDIDATURA 0202                                                                                    ;
0203;CANDIDATURA 0203                                  ;CANDIDATURA 0203                                                                                    ;
0207;CANDIDATURA 0207                                  ;CANDIDATURA 0207                                                                                    ;
0210;CANDIDATURA 0210                                  ;CANDIDATURA 0210                                                                                    ;
0211;CANDIDATURA 0211                                  ;CANDIDATURA 0211                                                                                    ;
0212;CANDIDATURA 0212                                  ;CANDIDATURA 0212                                                                                    ;
0215;CANDIDATURA 0215                                  ;CANDIDATURA 0215                                                                                    ;
0216;CANDIDATURA 0216                                  ;CANDIDATURA 0216                                                                                    ;
0217;CANDIDATURA 0217                                  ;CANDIDATURA 0217                                                                                    ;
0221;CANDIDATURA 0221                                  ;CANDIDATURA 0221                                                                                    ;
0231;CANDIDATURA 0231                                  ;CANDIDATURA 0231                                                                                    ;
0259;CANDIDATURA 0259                                  ;CANDIDATURA 0259                                                                                    ;
0262;CANDIDATURA 0262                                  ;CANDIDATURA 0262                                                                                    ;
0268;CANDIDATURA 0268                                  ;CANDIDATURA 0268                                                                                    ;
0298;CANDIDATURA 0298                                  ;CANDIDATURA 0298                                                                                    ;
0301;CANDIDATURA 0301                                  ;CANDIDATURA 0301                                                                                    ;
0309;CANDIDATURA 0309                                  ;CANDIDATURA 0309                                                                                    ;
0327;CANDIDATURA 0327                                  ;CANDIDATURA 0327                                                                                    ;
0501;CANDIDATURA 0501                                  ;CANDIDATURA 0501                                                                                    ;
0502;CANDIDATURA 0502                                  ;CANDIDATURA 0502                                                                                    ;
0503;CANDIDATURA 0503                                  ;CANDIDATURA 0503                                                                                    ;
0504;CANDIDATURA 0504                                  ;CANDIDATURA 0504                                                                                    ;
0505;CANDIDATURA 0505                                  ;CANDIDATURA 0505                                                                                    ;
0510;CANDIDATURA 0510                                  ;CANDIDATURA 0510                                                                                    ;
0511;CANDIDATURA 0511                                  ;CANDIDATURA 0511                                                                                    ;
0512;CANDIDATURA 0512                                  ;CANDIDATURA 0512                                                                                    ;
0513;CANDIDATURA 0513                                  ;CANDIDATURA 0513                                                                                    ;
0514;CANDIDATURA 0514                                  ;CANDIDATURA 0514                                                                                    ;
0515;CANDIDATURA 0515                                  ;CANDIDATURA 0515                                                                                    ;
0516;CANDIDATURA 0516                                  ;CANDIDATURA 0516                                                                                    ;
0517;CANDIDATURA 0517                                  ;CANDIDATURA 0517                                                                                    ;
0518;CANDIDATURA 0518                                  ;CANDIDATURA 0518                                                                                    ;
0519;CANDIDATURA 0519                                  ;CANDIDATURA 0519                                                                                    ;
0520;CANDIDATURA 0520                                  ;CANDIDATURA 0520                                                                                    ;
0521;CANDIDATURA 0521                                  ;CANDIDATURA 0521                                                                                    ;
0522;CANDIDATURA 0522                                  ;CANDIDATURA 0522                                                                                    ;
0523;CANDIDATURA 0523                                  ;CANDIDATURA 0523                                                                                    ;
0524;CANDIDATURA 0524                                  ;CANDIDATURA 0524                                                                                    ;
0525;CANDIDATURA 0525                                  ;CANDIDATURA 0525                                                                                    ;
0526;CANDIDATURA 0526                                  ;CANDIDATURA 0526                                                                                    ;
0527;CANDIDATURA 0527                                  ;CANDIDATURA 0527                                                                                    ;
0528;CANDIDATURA 0528                                  ;CANDIDATURA 0528                                                                                    ;
0529;CANDIDATURA 0529                                  ;CANDIDATURA 0529                                                                                    ;
0530;CANDIDATURA 0530                                  ;CANDIDATURA 0530                                                                                    ;
0531;CANDIDATURA 0531                                  ;CANDIDATURA 0531                                                                                    ;
0532;CANDIDATURA 0532                                  ;CANDIDATURA 0532                                                                                    ;
0533;CANDIDATURA 0533                                  ;CANDIDATURA 0533                                                                                    ;
0534;CANDIDATURA 0534                                  ;CANDIDATURA 0534                                                                                    ;
0535;CANDIDATURA 0535                                  ;CANDIDATURA 0535                                                                                    ;
0536;CANDIDATURA 0536                                  ;CANDIDATURA 0536                                                                                    ;
0537;CANDIDATURA 0537                                  ;CANDIDATURA 0537                                                                                    ;
0538;CANDIDATURA 0538                                  ;CANDIDATURA 0538                                                                                    ;
0539;CANDIDATURA 0539                                  ;CANDIDATURA 0539                                                                                    ;
0540;CANDIDATURA 0540                                  ;CANDIDATURA 0540                                                                                    ;
0541;CANDIDATURA 0541                                  ;CANDIDATURA 0541                                                                                    ;
0542;CANDIDATURA 0542                                  ;CANDIDATURA 0542                                                                                    ;
0543;CANDIDATURA 0543                                  ;CANDIDATURA 0543                                                                                    ;
0544;CANDIDATURA 0544                                  ;CANDIDATURA 0544                                                                                    ;
0545;CANDIDATURA 0545                                  ;CANDIDATURA 0545                                                                                    ;
0546;CANDIDATURA 0546                                  ;CANDIDATURA 0546                                                                                    ;
0547;CANDIDATURA 0547                                  ;CANDIDATURA 0547                                                                                    ;
0548;CANDIDATURA 0548                                  ;CANDIDATURA 0548                                                                                    ;
0549;CANDIDATURA 0549                                  ;CANDIDATURA 0549                                                                                    ;
0550;CANDIDATURA 0550                                  ;CANDIDATURA 0550                                                                                    ;
0551;CANDIDATURA 0551                                  ;CANDIDATURA 0551                                                                                    ;
0552;CANDIDATURA 0552                                  ;CANDIDATURA 0552                                                                                    ;
0553;CANDIDATURA 0553                                  ;CANDIDATURA 0553                                                                                    ;
0554;CANDIDATURA 0554                                  ;CANDIDATURA 0554                                                                                    ;
0555;CANDIDATURA 0555                                  ;CANDIDATURA 0555                                                                                    ;
0556;CANDIDATURA 0556                                  ;CANDIDATURA 0556                                                                                    ;
0557;CANDIDATURA 0557                                  ;CANDIDATURA 0557                                                                                    ;
0558;CANDIDATURA 0558                                  ;CANDIDATURA 0558                                                                                    ;
0559;CANDIDATURA 0559                                  ;CANDIDATURA 0559                                                                                    ;
0560;CANDIDATURA 0560                                  ;CANDIDATURA 0560                                                                                    ;
0561;CANDIDATURA 0561                                  ;CANDIDATURA 0561                                                                                    ;
0562;CANDIDATURA 0562                                  ;CANDIDATURA 0562                                                                                    ;
0563;CANDIDATURA 0563                                  ;CANDIDATURA 0563                                                                                    ;
0564;CANDIDATURA 0564                                  ;CANDIDATURA 0564                                                                                    ;
0565;CANDIDATURA 0565                                  ;CANDIDATURA 0565                                                                                    ;
0566;CANDIDATURA 0566                                  ;CANDIDATURA 0566                                                                                    ;
0567;CANDIDATURA 0567                                  ;CANDIDATURA 0567                                                                                    ;
0568;CANDIDATURA 0568                                  ;CANDIDATURA 0568                                                                                    ;
0569;CANDIDATURA 0569                                  ;CANDIDATURA 0569                                                                                    ;
0570;CANDIDATURA 0570                                  ;CANDIDATURA 0570                                                                                    ;
0571;CANDIDATURA 0571                                  ;CANDIDATURA 0571                                                                                    ;
0572;CANDIDATURA 0572                                  ;CANDIDATURA 0572                                                                                    ;
0573;CANDIDATURA 0573                                  ;CANDIDATURA 0573                                                                                    ;
0574;CANDIDATURA 0574                                  ;CANDIDATURA 0574                                                                                    ;
0575;CANDIDATURA 0575                                  ;CANDIDATURA 0575                                                                                    ;
