0002;JUSTICIALISTA                                     ;JUSTICIALISTA                                                                                       ;
0006;INTRANSIGENTE                                     ;INTRANSIGENTE                                                                                       ;
0008;FEDERAL                                           ;FEDERAL                                                                                             ;
0022;HUMANISTA                                         ;HUMANISTA                                                                                           ;
0023;UNION POPULAR                                     ;UNION POPULAR                                                                                       ;
0033;NACIONALISTA CONSTITUCIONAL -  UNIR               ;NACIONALISTA CONSTITUCIONAL -  UNIR                                                                 ;
0038;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES         ;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           ;
0040;MOVIMIENTO LIBRES DEL SUR                         ;MOVIMIENTO LIBRES DEL SUR                                                                           ;
0047;COALICION CIVICA - ARI                            ;COALICION CIVICA - ARI                                                                              ;
0050;SOCIALISTA                                        ;SOCIALISTA                                                                                          ;
0061;IZQUIERDA POR UNA OPCION SOCIALISTA               ;IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ;
0065;UNION CELESTE Y BLANCO                            ;UNION CELESTE Y BLANCO                                                                              ;
0069;GEN                                               ;GEN                                                                                                 ;
0070;DE TRABAJADORES POR EL SOCIALISMO                 ;DE TRABAJADORES POR EL SOCIALISMO                                                                   ;
0071;DEL OBRERO                                        ;DEL OBRERO                                                                                          ;
0072;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR       ;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ;
0074;DEL TRABAJO Y DEL PUEBLO                          ;DEL TRABAJO Y DEL PUEBLO                                                                            ;
0076;DE LA CULTURA LA EDUCACION Y EL TRABAJO           ;DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             ;
0079;RENOVADOR FEDERAL                                 ;RENOVADOR FEDERAL                                                                                   ;
0082;COMPROMISO FEDERAL                                ;COMPROMISO FEDERAL                                                                                  ;
0083;MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SU;MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR                                                 ;
0110;DEFENSA COMUNAL DE E.DE LA CRUZ                   ;DEFENSA COMUNAL DE E.DE LA CRUZ                                                                     ;
0151;MOVIMIENTO POPULAR NEUQUINO                       ;MOVIMIENTO POPULAR NEUQUINO                                                                         ;
0153;SOCIALISTA AUTENTICO DEL CHUBUT                   ;SOCIALISTA AUTENTICO DEL CHUBUT                                                                     ;
0159;MOVIMIENTO NORTE GRANDE                           ;MOVIMIENTO NORTE GRANDE                                                                             ;
0165;NUEVO OCTUBRE                                     ;NUEVO OCTUBRE                                                                                       ;
0167;FEDERAL FUEGUINO                                  ;FEDERAL FUEGUINO                                                                                    ;
0168;MOVIMIENTO DE VIDA Y COMPROMISO                   ;MOVIMIENTO DE VIDA Y COMPROMISO                                                                     ;
0170;MOVIMIENTO DE PARTICIPACION CIUDADANA             ;MOVIMIENTO DE PARTICIPACION CIUDADANA                                                               ;
0171;MOVIMIENTO INDEPENDIENTE RENOVADOR                ;MOVIMIENTO INDEPENDIENTE RENOVADOR                                                                  ;
0172;NUEVA DIRIGENCIA                                  ;NUEVA DIRIGENCIA                                                                                    ;
0174;POPULAR                                           ;POPULAR                                                                                             ;
0175;DEMOCRATA                                         ;DEMOCRATA                                                                                           ;
0176;FRENTE RENOVADOR AUTENTICO                        ;FRENTE RENOVADOR AUTENTICO                                                                          ;
0178;ACCION CIUDADANA                                  ;ACCION CIUDADANA                                                                                    ;
0179;CIUDADANOS A GOBERNAR                             ;CIUDADANOS A GOBERNAR                                                                               ;
0180;FUERZA REPUBLICANA                                ;FUERZA REPUBLICANA                                                                                  ;
0181;VERDE                                             ;VERDE                                                                                               ;
0182;ACCION POR UNA DEMOCRACIA NUEVA                   ;ACCION POR UNA DEMOCRACIA NUEVA                                                                     ;
0184;AGRARIO Y SOCIAL                                  ;AGRARIO Y SOCIAL                                                                                    ;
0185;SOCIALISTA AUTENTICO                              ;SOCIALISTA AUTENTICO                                                                                ;
0186;NUEVA IZQUIERDA                                   ;NUEVA IZQUIERDA                                                                                     ;
0187;AUTODETERMINACION Y LIBERTAD                      ;AUTODETERMINACION Y LIBERTAD                                                                        ;
0188;UNITE POR LA LIBERTAD Y LA DIGNIDAD               ;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;
0190;DE LOS TRABAJADORES SOCIALISTAS                   ;DE LOS TRABAJADORES SOCIALISTAS                                                                     ;
0194;OBRERO                                            ;OBRERO                                                                                              ;
0201;PRIMERO LA GENTE                                  ;PRIMERO LA GENTE                                                                                    ;
0202;CIUDAD FUTURA                                     ;CIUDAD FUTURA                                                                                       ;
0203;SALTA SOMOS TODOS                                 ;SALTA SOMOS TODOS                                                                                   ;
0207;INICIATIVA POR LA UNION                           ;INICIATIVA POR LA UNION                                                                             ;
